Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 20/01/2022
TIME       : 00:22:39
FILENAME   : C:\Users\CEMIE\Downloads\Chelem_practica ENES 20220119\CSV\chelem_practica_220120002238_V6105.CSV
CREATED BY : Diver-Office 10.0.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..36-V6105  317.
  Instrument number       =          UTC+0     
                          =0
  Location                =chelem_practica
  Sample period           =S01
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.00    cm
  Range                   =10750.00  cm
  Master level            =10750     CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..36-V6105  317.
  Instrument number       =          UTC+0     
  Location                =chelem_practica
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =00:30:15 19/01/22
  End date / time         =04:44:19 19/01/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.00    cm
  Range                   =10750.00  cm
  Master level            =10750     CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Pressure[cm],Temperature[°C],1:Conductivity[mS/cm]
2022/01/19 15:30:00,1037.48,23.833,0.000
2022/01/19 15:30:01,1036.40,23.837,0.000
2022/01/19 15:30:02,1037.48,23.840,0.000
2022/01/19 15:30:03,1036.40,23.843,0.000
2022/01/19 15:30:04,1036.40,23.843,0.000
2022/01/19 15:30:05,1036.76,23.847,0.000
2022/01/19 15:30:06,1036.76,23.847,0.000
2022/01/19 15:30:07,1036.76,23.847,0.000
2022/01/19 15:30:08,1036.76,23.850,0.000
2022/01/19 15:30:09,1036.76,23.850,0.000
2022/01/19 15:30:10,1036.76,23.850,0.000
2022/01/19 15:30:11,1036.04,23.853,0.000
2022/01/19 15:30:12,1037.12,23.853,0.000
2022/01/19 15:30:13,1036.40,23.857,0.000
2022/01/19 15:30:14,1036.40,23.857,0.000
2022/01/19 15:30:15,1036.40,23.860,0.000
2022/01/19 15:30:16,1036.40,23.860,0.000
2022/01/19 15:30:17,1037.12,23.863,0.000
2022/01/19 15:30:18,1037.12,23.867,0.000
2022/01/19 15:30:19,1037.12,23.867,0.000
2022/01/19 15:30:20,1036.40,23.870,0.000
2022/01/19 15:30:21,1035.33,23.870,0.000
2022/01/19 15:30:22,1036.04,23.873,0.000
2022/01/19 15:30:23,1036.04,23.873,0.000
2022/01/19 15:30:24,1036.04,23.877,0.000
2022/01/19 15:30:25,1037.12,23.877,0.000
2022/01/19 15:30:26,1036.76,23.880,0.000
2022/01/19 15:30:27,1036.76,23.880,0.000
2022/01/19 15:30:28,1037.12,23.883,0.000
2022/01/19 15:30:29,1037.12,23.883,0.000
2022/01/19 15:30:30,1037.12,23.887,0.000
