Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 15/01/2024
TIME       : 11:02:39
FILENAME   : C:\Users\lapcof_fieldPC\Documents\All Work\Proyectos vigentes\IslaArena\CTDs\DiverBatim\CSV\bati_240115110238_X1819.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..14-X1819  317.
  Instrument number       =          UTC+0     
                          =0
  Location                =bati
  Sample period           =S01
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..14-X1819  317.
  Instrument number       =          UTC+0     
  Location                =bati
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =00:00:17 12/01/24
  End date / time         =10:18:21 12/01/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2024/01/12 17:00:00,1048.958,25.750,55.268
2024/01/12 17:00:01,1048.900,25.747,55.256
2024/01/12 17:00:02,1049.192,25.743,55.268
2024/01/12 17:00:03,1048.783,25.740,55.272
2024/01/12 17:00:04,1048.258,25.743,55.276
2024/01/12 17:00:05,1048.375,25.747,55.272
2024/01/12 17:00:06,1048.200,25.753,55.280
2024/01/12 17:00:07,1049.075,25.753,55.288
2024/01/12 17:00:08,1048.900,25.753,55.288
2024/01/12 17:00:09,1049.483,25.753,55.276
2024/01/12 17:00:10,1049.308,25.753,55.288
2024/01/12 17:00:11,1049.717,25.753,55.296
2024/01/12 17:00:12,1048.900,25.757,55.296
2024/01/12 17:00:13,1048.667,25.760,55.292
2024/01/12 17:00:14,1048.958,25.760,55.296
2024/01/12 17:00:15,1048.492,25.760,55.284
2024/01/12 17:00:16,1048.375,25.757,55.292
2024/01/12 17:00:17,1047.967,25.760,55.276
2024/01/12 17:00:18,1048.608,25.757,55.272
2024/01/12 17:00:19,1049.192,25.753,55.264
2024/01/12 17:00:20,1049.075,25.750,55.276
2024/01/12 17:00:21,1048.492,25.750,55.264
2024/01/12 17:00:22,1048.783,25.747,55.272
2024/01/12 17:00:23,1049.075,25.747,55.256
2024/01/12 17:00:24,1047.558,25.743,55.268
2024/01/12 17:00:25,1047.967,25.743,55.268
2024/01/12 17:00:26,1048.375,25.747,55.268
2024/01/12 17:00:27,1049.075,25.743,55.264
2024/01/12 17:00:28,1048.258,25.743,55.272
2024/01/12 17:00:29,1048.083,25.743,55.284
2024/01/12 17:00:30,1048.492,25.750,55.308
2024/01/12 17:00:31,1049.892,25.753,55.316
